ID,COUNTRY,AGE,GENDER,DATE,SITE,ROLE,ENTRY_TIME,EXIT_TIME,NO OF HOURS WORKED,EXTRA HOURS WORKED,TOTAL HOURS,ACTIVE TIME OF WORKER,BODY TEMP,HAZARDIOUS
Mc-01234,malsiya,32,male,12-11-2022,A,concreater,06:00,14:00,08:00,4,8,6,99,1
Mc-01235,malsiya,22,female,12-11-2022,B,lifter,06:00,14:00,08:00,0,8,6,98,0
Mc-01236,malsiya,45,male,12-11-2022,C,sweeper,06:30,14:00,08:00,0,8,4,102,0
Mc-01237,malsiya,36,male,12-11-2022,D,concreater,06:50,14:00,08:00,0,8,7,96,0
Mc-01238,malsiya,44,male,12-11-2022,E,concreater,06:00,18:00,08:00,4,12,10,95,0
Mc-01239,malsiya,35,male,12-11-2022,F,lifter,06:00,14:00,08:00,0,8,4,98,0
Mc-01240,malsiya,29,male,12-11-2022,G,concreater,06:00,14:00,08:00,0,8,6,93,0
Mc-01241,malsiya,25,female,12-11-2022,H,lifter,06:30,14:00,08:00,0,8,4,98,0
Mc-01242,malsiya,28,male,12-11-2022,I,sweeper,06:50,14:00,08:00,0,8,6,104,0
Mc-01243,malsiya,45,male,12-11-2022,J,concreater,06:00,14:00,08:00,0,8,6,99,0
Mc-01244,malsiya,32,male,12-11-2022,A,concreater,06:00,14:00,08:00,0,8,4,98,0
Mc-01245,malsiya,32,male,12-11-2022,B,lifter,06:00,14:00,08:00,0,8,7,102,0
Mc-01246,malsiya,22,male,12-11-2022,C,concreater,06:30,14:00,08:00,0,8,6,96,0
Mc-01247,malsiya,45,female,12-11-2022,D,lifter,06:50,18:00,08:00,4,12,10,95,0
Mc-01248,malsiya,36,male,12-11-2022,E,sweeper,06:00,14:00,08:00,0,8,6,98,1
Mc-01249,malsiya,44,male,12-11-2022,F,concreater,06:00,14:00,08:00,0,8,4,93,0
Mc-01250,malsiya,35,male,12-11-2022,G,concreater,06:00,14:00,08:00,0,8,6,98,0
Mc-01251,malsiya,29,male,12-11-2022,H,lifter,06:30,14:00,08:00,0,8,6,104,0
Mc-01252,malsiya,25,male,12-11-2022,I,concreater,06:50,14:00,08:00,0,8,4,99,0
Mc-01253,malsiya,28,female,12-11-2022,J,lifter,06:00,14:00,08:00,0,8,7,98,0
Mc-01254,malsiya,45,male,12-11-2022,A,sweeper,06:00,14:00,08:00,0,8,6,102,0
Mc-01255,malsiya,32,male,12-11-2022,B,concreater,06:00,14:00,08:00,0,8,4,96,0
Mc-01256,malsiya,33,male,12-11-2022,C,concreater,06:30,14:00,08:00,0,8,6,95,0
Mc-01257,malsiya,36,male,12-11-2022,D,lifter,06:50,14:00,08:00,0,8,4,98,0
Mc-01258,malsiya,39,male,12-11-2022,E,concreater,06:00,14:00,08:00,0,8,6,93,0
Mc-01259,malsiya,41,female,12-11-2022,F,lifter,06:00,14:00,08:00,0,8,6,98,0
Mc-01260,malsiya,42,male,12-11-2022,G,sweeper,06:00,14:00,08:00,0,8,4,104,0
Mc-01261,malsiya,22,male,12-11-2022,H,concreater,06:30,14:00,08:00,0,8,7,99,0
Mc-01262,malsiya,45,male,12-11-2022,I,concreater,06:50,14:00,08:00,0,8,6,98,0
Mc-01263,malsiya,36,male,12-11-2022,J,lifter,06:00,14:00,08:00,0,8,4,102,2
Mc-01264,malsiya,44,male,12-11-2022,A,concreater,06:00,14:00,08:00,0,8,6,96,0
Mc-01265,malsiya,35,female,12-11-2022,B,lifter,06:00,14:00,08:00,0,8,4,95,0
Mc-01266,malsiya,29,male,12-11-2022,C,sweeper,06:30,      18:00     ,08:00,4,12,11,98,0
Mc-01267,malsiya,25,male,12-11-2022,D,concreater,06:50,14:00,08:00,0,8,6,93,0
Mc-01268,malsiya,28,male,12-11-2022,E,concreater,06:00,14:00,08:00,0,8,4,98,0
Mc-01269,malsiya,45,male,12-11-2022,F,lifter,06:00,14:00,08:00,0,8,7,99,0
Mc-01270,malsiya,32,male,12-11-2022,G,concreater,06:00,14:00,08:00,0,8,6,98,0
Mc-01271,malsiya,38,female,12-11-2022,H,lifter,06:30,14:00,08:00,0,8,4,102,0
Mc-01272,malsiya,34,male,12-11-2022,I,sweeper,06:50,14:00,08:00,0,8,6,96,0
Mc-01273,malsiya,39,male,12-11-2022,J,concreater,06:00,14:00,08:00,0,8,4,95,0
Mc-01274,malsiya,32,male,12-11-2022,A,concreater,06:00,18:00,08:00,0,12,9,98,0
Mc-01275,malsiya,22,male,12-11-2022,B,lifter,06:00,14:00,08:00,0,8,6,93,0
Mc-01276,malsiya,45,male,12-11-2022,C,concreater,06:30,14:00,08:00,0,8,4,98,0
Mc-01277,malsiya,36,female,12-11-2022,D,lifter,06:50,14:00,08:00,0,8,7,104,0
Mc-01278,malsiya,44,male,12-11-2022,E,sweeper,06:00,14:00,08:00,0,8,6,99,0
Mc-01279,malsiya,35,male,12-11-2022,F,concreater,06:00,14:00,08:00,0,8,4,98,0
Mc-01280,malsiya,29,male,12-11-2022,G,concreater,06:00,18:00,08:00,4,8,6,102,0
Mc-01281,malsiya,25,male,12-11-2022,H,lifter,06:30,14:00,08:00,0,8,4,96,0
Mc-01282,malsiya,28,male,12-11-2022,I,concreater,06:50,14:00,08:00,0,8,6,95,0
Mc-01283,malsiya,45,female,12-11-2022,J,lifter,06:00,14:00,08:00,0,8,6,98,0
Mc-01284,malsiya,32,male,12-11-2022,A,sweeper,06:00,14:00,08:00,0,8,4,93,0
Mc-01285,malsiya,32,male,12-11-2022,B,concreater,06:00,14:00,08:00,0,8,7,98,0
Mc-01286,malsiya,22,male,12-11-2022,C,concreater,06:30,14:00,08:00,0,8,6,99,1
Mc-01287,malsiya,45,male,12-11-2022,D,lifter,06:50,14:00,08:00,0,8,4,98,0
Mc-01288,malsiya,36,male,12-11-2022,E,concreater,06:00,14:00,08:00,0,8,6,102,0
Mc-01289,malsiya,44,female,12-11-2022,F,lifter,06:00,14:00,08:00,0,8,4,96,0
Mc-01290,malsiya,35,male,12-11-2022,G,sweeper,06:00,14:00,08:00,0,8,6,95,0
Mc-01291,malsiya,29,male,12-11-2022,H,concreater,06:30,14:00,08:00,0,8,6,98,0
Mc-01292,malsiya,25,male,12-11-2022,I,concreater,06:50,14:00,08:00,0,8,4,93,0
Mc-01293,malsiya,28,male,12-11-2022,J,lifter,06:00,14:00,08:00,0,8,7,98,0
Mc-01294,malsiya,45,male,12-11-2022,A,concreater,06:00,18:00,08:00,4,12,10,104,0
Mc-01295,malsiya,32,female,12-11-2022,B,lifter,06:00,14:00,08:00,0,8,4,99,0
Mc-01296,malsiya,29,male,12-11-2022,C,sweeper,06:30,14:00,08:00,0,8,6,98,0
Mc-01297,malsiya,25,male,12-11-2022,D,concreater,06:50,14:00,08:00,0,8,4,102,0
Mc-01298,malsiya,28,male,12-11-2022,E,concreater,06:00,14:00,08:00,0,8,6,96,0
Mc-01299,malsiya,45,male,12-11-2022,F,lifter,06:00,14:00,08:00,0,8,6,95,0
Mc-01300,malsiya,32,male,12-11-2022,G,concreater,06:00,14:00,08:00,0,8,4,98,0
Mc-01301,malsiya,32,female,12-11-2022,H,lifter,06:30,14:00,08:00,0,8,7,93,1
Mc-01302,malsiya,22,male,12-11-2022,I,sweeper,06:50,14:00,08:00,0,8,6,98,0
Mc-01303,malsiya,45,male,12-11-2022,J,concreater,06:00,14:00,08:00,0,8,4,99,0
Mc-01304,malsiya,36,male,12-11-2022,A,concreater,06:00,14:00,08:00,0,8,6,98,0
Mc-01305,malsiya,44,male,12-11-2022,B,lifter,06:00,14:00,08:00,0,8,4,102,0
Mc-01306,malsiya,35,male,12-11-2022,C,concreater,06:30,14:00,08:00,0,8,6,96,0
Mc-01307,malsiya,29,female,12-11-2022,D,lifter,06:50,14:00,08:00,0,8,6,95,0
Mc-01308,malsiya,25,male,12-11-2022,E,sweeper,06:00,14:00,08:00,0,8,4,98,0
Mc-01309,malsiya,28,male,12-11-2022,F,concreater,06:00,14:00,08:00,0,8,7,93,0
Mc-01310,malsiya,45,male,12-11-2022,G,concreater,06:00,14:00,08:00,0,8,6,98,0
